Scenario - phase2_matchingPennies_algorithm1
Logfile written - 01/18/2018 11:27:48

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

761	0	Manual	01/18/2018 10:28:25	-9975	-9975
761	0	Response	3	13628	13628	8
761	0	Response	3	13745	13745	4
761	0	Response	3	60344	60344	6
761	0	Response	3	60456	60456	6
761	0	Response	3	61709	61709	6
761	0	Response	3	61767	61767	6
761	0	Response	3	61787	61787	6
761	0	Response	3	62116	62116	6
761	0	Response	3	63745	63745	6
761	0	Response	3	63757	63757	6
761	0	Response	3	63792	63792	6
761	0	Response	3	63840	63840	6
761	0	Response	3	63857	63857	6
761	0	Response	3	63902	63902	6
761	0	Response	3	64955	64955	6
761	0	Response	3	66629	66629	6
761	0	Response	3	68192	68192	6
761	0	Response	3	95112	95112	6
761	0	Response	3	95300	95300	6
761	0	Response	3	95458	95458	6
761	0	Response	3	95627	95627	7
761	0	Response	3	97177	97177	6
761	0	Response	3	98894	98894	6
761	0	Response	3	100162	100162	6
761	0	Response	3	142842	142842	6
761	0	Response	3	142852	142852	6
761	0	Response	3	142883	142883	6
761	0	Response	3	144269	144269	6
761	0	Response	3	144277	144277	6
761	0	Response	3	144786	144786	6
761	0	Response	3	150090	150090	6
761	0	Response	3	151557	151557	6
761	0	Response	3	151577	151577	6
761	0	Response	3	151619	151619	6
761	0	Response	3	151639	151639	6
761	0	Response	3	151782	151782	6
761	0	Response	3	151944	151944	6
761	0	Response	3	152002	152002	6
761	0	Response	3	209383	209383	6
761	0	Response	3	209667	209667	6
761	0	Response	3	209724	209724	6
761	0	Response	3	210764	210764	6
761	0	Response	3	212433	212433	6
761	0	Response	3	245716	245716	6
761	0	Response	3	245728	245728	6
761	0	Response	3	245812	245812	5
761	0	Response	3	245927	245927	6
761	0	Response	3	245987	245987	6
761	0	Response	3	246000	246000	6
761	0	Response	3	246092	246092	6
761	0	Response	3	247423	247423	8
761	0	Response	3	247591	247591	6
761	0	Response	3	247763	247763	6
761	0	Response	3	247880	247880	6
761	0	Response	3	360156	360156	6
761	0	Response	3	361610	361610	6
761	0	Response	3	361686	361686	6
761	0	Response	3	388943	388943	4
761	0	Response	3	388966	388966	7
761	0	Response	3	389050	389050	6
761	0	Response	3	390582	390582	5
761	0	Response	3	392468	392468	6
761	0	Response	3	392480	392480	6
761	0	Response	3	392545	392545	6
761	0	Response	2	465005	465005	6
761	0	Response	2	465010	465010	6
761	0	Response	2	469731	469731	6
761	0	Response	3	509225	509225	6
761	0	Response	3	509240	509240	6
761	0	Response	3	509248	509248	6
761	0	Response	3	510970	510970	6
761	0	Response	3	510975	510975	6
761	0	Response	3	554449	554449	6
761	0	Response	3	554454	554454	6
761	0	Response	3	555897	555897	6
761	0	Response	3	557569	557569	6
761	0	Response	3	557987	557987	6
761	0	Response	3	557992	557992	6
761	0	Response	3	558179	558179	6
761	0	Response	2	560787	560787	5
761	0	Response	2	563859	563859	6
761	0	Response	2	565690	565690	6
761	0	Response	2	565848	565848	6
761	0	Response	3	608137	608137	6
761	0	Response	3	608144	608144	6
761	0	Response	3	608348	608348	6
761	0	Response	3	608499	608499	6
761	0	Response	3	608832	608832	6
761	0	Response	3	609734	609734	6
761	0	Response	3	609752	609752	6
761	0	Response	3	609960	609960	6
761	0	Response	3	713966	713966	6
761	0	Response	3	713973	713973	5
761	0	Response	3	714319	714319	6
761	0	Response	3	714496	714496	6
761	0	Response	3	714611	714611	7
761	0	Response	3	715672	715672	6
761	0	Response	3	715688	715688	6
761	0	Response	3	715828	715828	6
761	0	Response	3	747007	747007	6
761	0	Response	3	748618	748618	5
761	0	Response	3	748939	748939	6
761	0	Response	3	808929	808929	4
761	0	Response	3	808932	808932	6
761	0	Response	3	808980	808980	5
761	0	Response	3	809280	809280	6
761	0	Response	3	810556	810556	6
761	0	Response	3	812307	812307	5
761	0	Response	3	816468	816468	6
761	0	Response	3	817715	817715	7
761	0	Response	2	821028	821028	6
761	0	Response	3	823318	823318	6
761	0	Response	3	823323	823323	6
761	0	Response	3	823336	823336	6
761	0	Response	3	927386	927386	6
761	0	Response	3	929198	929198	6
761	1	Nothing	52	930074	0	1			0		other	0
761	2	Sound	0	931087	0	2			0		other	0
761	2	Response	2	939593	8506	14
761	3	Nothing	110	939633	0	1			0		false_alarm	122
761	3	Response	2	942431	2798	6
761	3	Response	2	945362	5729	5
761	4	Nothing	19	969834	0	1			0		other	0
761	5	Nothing	52	993306	0	1			0		other	0
761	6	Sound	0	994319	0	2			0		other	0
761	6	Response	3	999997	5678	6
761	6	Response	3	1000002	5683	6
761	7	Response	3	1000238	204	6
761	8	Nothing	111	1001053	0	1			0		false_alarm	131
761	8	Response	3	1001603	550	6
761	8	Response	3	1001642	589	6
761	8	Response	3	1007125	6072	6
761	8	Response	3	1007274	6221	6
761	8	Response	3	1007407	6354	7
761	8	Response	3	1008653	7600	6
761	8	Response	3	1008658	7605	6
761	8	Response	3	1008787	7734	6
761	8	Response	3	1013450	12397	6
761	8	Response	3	1015018	13965	5
761	8	Response	3	1016577	15524	5
761	8	Response	3	1016587	15534	6
761	8	Response	3	1016612	15559	5
761	9	Nothing	19	1030225	0	1			0		other	0
761	10	Nothing	51	1047631	0	1			0		other	0
761	11	Sound	0	1048645	0	2			0		other	0
761	11	Response	3	1055051	6406	6
761	12	Nothing	101	1055083	0	1			0		false_alarm	149
761	12	Response	3	1056648	1565	6
761	12	Response	3	1056666	1583	6
761	12	Response	3	1056728	1645	6
761	12	Response	3	1056894	1811	6
761	12	Response	3	1057042	1959	5
761	12	Response	3	1057268	2185	6
761	12	Response	3	1058208	3125	6
761	12	Response	3	1058221	3138	6
761	12	Response	3	1058771	3688	6
761	13	Nothing	19	1085216	0	2			0		other	0
761	14	Nothing	51	1098520	0	1			0		other	0
761	15	Sound	0	1099532	0	2			0		other	0
761	15	Response	2	1105825	6293	6
761	17	Nothing	100	1106881	0	1			0		false_alarm	163
761	17	Response	2	1107100	219	6
761	17	Response	2	1109444	2563	6
761	17	Response	2	1110674	3793	6
761	17	Response	2	1112078	5197	6
761	17	Response	2	1112257	5376	6
761	17	Response	2	1113482	6601	6
761	17	Response	2	1115107	8226	8
761	17	Response	2	1116858	9977	6
761	17	Response	2	1118223	11342	6
761	17	Response	2	1119459	12578	6
761	18	Nothing	19	1136052	0	1			0		other	0
761	20	Nothing	52	1173826	0	1			0		other	0
761	21	Sound	0	1174839	0	2			0		other	0
761	21	Response	3	1179565	4726	6
761	21	Response	3	1179571	4732	5
761	23	Nothing	111	1180617	0	1			0		false_alarm	179
761	23	Response	3	1181027	410	6
761	23	Response	3	1185100	4483	6
761	23	Response	3	1185105	4488	5
761	23	Response	3	1185263	4646	6
761	23	Response	3	1186553	5936	6
761	23	Response	3	1186563	5946	6
761	23	Response	3	1186572	5955	4
761	23	Response	3	1186598	5981	6
761	23	Response	3	1186718	6101	6
761	23	Response	2	1189140	8523	6
761	23	Response	2	1189158	8541	6
761	23	Response	2	1190579	9962	6
761	23	Response	2	1190586	9969	6
761	23	Response	2	1191734	11117	5
761	23	Response	3	1194478	13861	4
761	23	Response	3	1194536	13919	6
761	23	Response	3	1195783	15166	6
761	23	Response	3	1195788	15171	6
761	23	Response	3	1195795	15178	6
761	23	Response	3	1197373	16756	6
761	23	Response	3	1197378	16761	6
761	23	Response	3	1198894	18277	4
761	23	Response	3	1199079	18462	6
761	23	Response	3	1199200	18583	5
761	23	Response	3	1200482	19865	6
761	24	Nothing	19	1210423	0	1			0		other	0
761	25	Nothing	51	1231762	0	1			0		other	0
761	26	Sound	0	1232776	0	2			0		other	0
761	26	Response	2	1234056	1280	5
761	26	Response	2	1234076	1300	7
761	27	Response	2	1234243	151	6
761	28	Nothing	100	1235111	0	1			0		false_alarm	211
761	28	Response	2	1235422	311	6
761	28	Response	2	1235444	333	6
761	28	Response	2	1235449	338	6
761	28	Response	2	1235760	649	6
761	28	Response	2	1238279	3168	6
761	28	Response	2	1238430	3319	6
761	28	Response	2	1238435	3324	6
761	28	Response	2	1238539	3428	6
761	28	Response	2	1239788	4677	6
761	28	Response	2	1241084	5973	6
761	28	Response	2	1242377	7266	6
761	29	Nothing	19	1267754	0	1			0		other	0
761	29	Response	3	1299835	32081	5
761	29	Response	3	1301125	33371	6
761	29	Response	3	1302650	34896	6
761	30	Nothing	19	1304520	0	1			0		other	0
761	30	Response	2	1305695	1175	6
761	30	Response	2	1305708	1188	6
761	30	Response	2	1307245	2725	5
761	30	Response	2	1307259	2739	6
761	31	Nothing	19	1328156	0	1			0		other	0
761	32	Nothing	52	1340874	0	1			0		other	0
761	33	Sound	0	1341887	0	2			0		other	0
761	33	Response	3	1346813	4926	5
761	35	Nothing	111	1347867	0	1			0		false_alarm	236
761	35	Response	3	1348288	421	6
761	35	Response	3	1352410	4543	6
761	35	Response	3	1353897	6030	6
761	35	Response	3	1353902	6035	7
761	35	Response	3	1355403	7536	6
761	35	Response	3	1355408	7541	6
761	35	Response	3	1356930	9063	5
761	35	Response	3	1356953	9086	6
761	35	Response	3	1362601	14734	8
761	35	Response	3	1363079	15212	6
761	35	Response	3	1364068	16201	6
761	35	Response	3	1367394	19527	6
761	35	Response	3	1369131	21264	6
761	35	Response	3	1370896	23029	6
761	36	Nothing	19	1380491	0	1			0		other	0
761	37	Nothing	51	1428661	0	1			0		other	0
761	38	Sound	0	1429675	0	2			0		other	0
761	38	Response	2	1433487	3812	6
761	40	Nothing	100	1434542	0	1			0		false_alarm	255
761	40	Response	2	1434974	432	4
761	40	Response	2	1440035	5493	6
761	40	Response	2	1441421	6879	6
761	40	Response	2	1442722	8180	6
761	40	Response	2	1442745	8203	6
761	40	Response	2	1442902	8360	6
761	40	Response	2	1442908	8366	5
761	40	Response	2	1443045	8503	6
761	40	Response	2	1444028	9486	5
761	40	Response	2	1445440	10898	6
761	40	Response	2	1449962	15420	5
761	40	Response	2	1451262	16720	6
761	40	Response	2	1451270	16728	5
761	40	Response	2	1452724	18182	6
761	40	Response	2	1454068	19526	6
761	41	Nothing	19	1467152	0	1			0		other	0
761	42	Nothing	51	1490116	0	1			0		other	0
761	43	Sound	0	1491129	0	2			0		other	0
761	43	Response	3	1494731	3602	6
761	44	Nothing	101	1494764	0	1			0		false_alarm	275
761	44	Response	3	1498046	3282	6
761	44	Response	3	1498051	3287	6
761	44	Response	3	1499253	4489	6
761	44	Response	3	1499386	4622	6
761	44	Response	3	1499556	4792	6
761	44	Response	3	1499701	4937	6
761	44	Response	3	1499833	5069	6
761	44	Response	3	1500765	6001	6
761	44	Response	3	1502461	7697	6
761	44	Response	3	1502471	7707	6
761	44	Response	3	1503045	8281	6
761	44	Response	3	1504330	9566	4
761	44	Response	3	1505757	10993	6
761	44	Response	2	1508779	14015	6
761	45	Nothing	19	1528361	0	1			0		other	0
761	47	Nothing	52	1559259	0	1			0		other	0
761	48	Sound	0	1560273	0	2			0		other	0
761	48	Response	2	1565664	5391	6
761	49	Nothing	110	1565697	0	1			0		false_alarm	294
761	49	Response	2	1567022	1325	6
761	49	Response	2	1568389	2692	6
761	49	Response	2	1569520	3823	6
761	49	Response	2	1572519	6822	6
761	50	Nothing	19	1599294	0	1			0		other	0
761	51	Nothing	51	1612993	0	1			0		other	0
761	52	Sound	0	1614007	0	2			0		other	0
761	52	Response	2	1619626	5619	6
761	54	Nothing	100	1620678	0	1			0		false_alarm	303
761	54	Response	2	1620916	238	6
761	54	Response	2	1622283	1605	6
761	54	Response	2	1622312	1634	6
761	54	Response	2	1623489	2811	6
761	54	Response	2	1624788	4110	6
761	54	Response	2	1626214	5536	6
761	54	Response	2	1626234	5556	6
761	54	Response	2	1627682	7004	6
761	54	Response	2	1627692	7014	6
761	54	Response	2	1629074	8396	6
761	54	Response	2	1630462	9784	6
761	54	Response	2	1630487	9809	6
761	54	Response	2	1634553	13875	5
761	55	Nothing	19	1653246	0	1			0		other	0
761	55	Response	2	1689053	35807	6
761	56	Nothing	19	1689372	0	1			0		other	0
761	56	Response	2	1690614	1242	6
761	56	Response	2	1694119	4747	6
761	57	Nothing	19	1734558	0	1			0		other	0
761	58	Nothing	51	1748762	0	1			0		other	0
761	59	Sound	0	1749774	0	2			0		other	0
761	59	Response	3	1753524	3750	6
761	60	Nothing	101	1753557	0	1			0		false_alarm	326
761	60	Response	3	1754710	1153	6
761	60	Response	3	1754715	1158	6
761	60	Response	3	1756205	2648	6
761	60	Response	3	1756278	2721	5
761	60	Response	3	1757939	4382	6
761	61	Nothing	19	1787167	0	1			0		other	0
761	62	Nothing	52	1820126	0	1			0		other	0
761	63	Sound	0	1821140	0	2			0		other	0
761	63	Response	2	1824685	3545	6
761	64	Nothing	110	1824718	0	1			0		false_alarm	336
761	64	Response	2	1826398	1680	6
761	64	Response	2	1827630	2912	5
761	65	Nothing	19	1858316	0	1			0		other	0
761	66	Nothing	51	1887464	0	1			0		other	0
761	67	Sound	0	1888476	0	2			0		other	0
761	67	Response	3	1893207	4731	6
761	68	Nothing	101	1893240	0	1			0		false_alarm	343
761	68	Response	3	1894592	1352	6
761	68	Response	3	1895090	1850	6
761	68	Response	3	1895095	1855	6
761	68	Response	3	1895281	2041	6
761	68	Response	3	1896240	3000	6
761	68	Response	3	1896671	3431	6
761	68	Response	3	1896676	3436	6
761	68	Response	3	1897918	4678	6
761	68	Response	3	1899462	6222	6
761	68	Response	3	1900962	7722	6
761	68	Response	3	1901620	8380	6
761	68	Response	3	1902846	9606	6
761	68	Response	3	1902863	9623	6
761	68	Response	3	1903080	9840	6
761	69	Nothing	19	1926860	0	1			0		other	0
761	71	Nothing	51	1946659	0	1			0		other	0
761	72	Sound	0	1947671	0	2			0		other	0
761	72	Response	2	1953532	5861	6
761	74	Nothing	100	1954587	0	1			0		false_alarm	362
761	74	Response	2	1954686	99	8
761	74	Response	2	1962583	7996	6
761	74	Response	2	1963908	9321	6
761	74	Response	2	1965240	10653	5
761	74	Response	2	1970214	15627	6
761	75	Nothing	19	1987186	0	1			0		other	0
761	76	Nothing	52	2000096	0	1			0		other	0
761	77	Sound	0	2001110	0	2			0		other	0
761	77	Response	2	2005540	4430	6
761	78	Nothing	110	2005572	0	1			0		false_alarm	372
761	78	Response	2	2008580	3008	6
761	79	Nothing	19	2039132	0	1			0		other	0
761	80	Nothing	51	2055149	0	1			0		other	0
761	81	Sound	0	2056161	0	2			0		other	0
761	81	Response	2	2060247	4086	6
761	83	Nothing	100	2061302	0	1			0		false_alarm	378
761	83	Response	2	2061547	245	6
761	83	Response	2	2065347	4045	6
761	83	Response	2	2066681	5379	8
761	83	Response	2	2067964	6662	5
761	83	Response	2	2069283	7981	8
761	83	Response	2	2070808	9506	6
761	83	Response	2	2073412	12110	6
761	84	Nothing	19	2093853	0	1			0		other	0
761	85	Nothing	52	2106209	0	1			0		other	0
761	86	Sound	0	2107223	0	2			0		other	0
761	86	Response	2	2111720	4497	6
761	87	Nothing	110	2111753	0	1			0		false_alarm	390
761	87	Response	2	2114750	2997	5
761	88	Nothing	19	2145330	0	1			0		other	0
761	88	Response	2	2174815	29485	6
761	89	Nothing	19	2177990	0	1			0		other	0
761	90	Nothing	52	2206992	0	1			0		other	0
761	91	Sound	0	2208005	0	2			0		other	0
761	91	Response	3	2211547	3542	4
761	92	Response	3	2211839	257	6
761	93	Nothing	111	2212600	0	1			0		false_alarm	399
761	93	Response	3	2212927	327	6
761	93	Response	3	2214202	1602	6
761	93	Response	3	2217118	4518	6
761	93	Response	3	2217146	4546	6
761	93	Response	3	2217164	4564	6
761	93	Response	3	2217331	4731	6
761	93	Response	3	2218678	6078	7
761	93	Response	3	2218694	6094	6
761	93	Response	3	2220284	7684	6
761	93	Response	3	2220444	7844	6
761	93	Response	3	2223233	10633	6
761	93	Response	3	2224816	12216	6
761	93	Response	3	2224821	12221	6
761	94	Nothing	19	2245215	0	1			0		other	0
761	96	Nothing	51	2259934	0	1			0		other	0
761	97	Sound	0	2260948	0	2			0		other	0
761	97	Response	2	2265007	4059	6
761	99	Nothing	100	2266060	0	1			0		false_alarm	417
761	99	Response	2	2266227	167	6
761	99	Response	3	2274307	8247	5
761	99	Response	3	2274350	8290	6
761	99	Response	3	2274446	8386	6
761	99	Response	2	2277061	11001	6
761	99	Response	2	2278303	12243	6
761	99	Response	2	2279545	13485	6
761	100	Nothing	19	2298686	0	1			0		other	0
761	101	Nothing	51	2319269	0	1			0		other	0
761	102	Sound	0	2320282	0	2			0		other	0
761	102	Response	2	2324872	4590	6
761	104	Nothing	100	2325925	0	1			0		false_alarm	429
761	104	Response	2	2326215	290	5
761	104	Response	2	2333065	7140	6
761	104	Response	2	2334349	8424	6
761	104	Response	2	2335636	9711	6
761	105	Nothing	19	2358490	0	1			0		other	0
761	105	Response	2	2367093	8603	6
761	105	Response	3	2370441	11951	4
761	105	Response	3	2371971	13481	4
761	105	Response	3	2371981	13491	6
761	106	Nothing	19	2385295	0	1			0		other	0
761	106	Response	2	2422956	37661	6
761	107	Nothing	19	2431736	0	1			0		other	0
761	108	Nothing	51	2477108	0	1			0		other	0
761	109	Sound	0	2478121	0	2			0		other	0
761	109	Response	3	2478893	772	6
761	110	Nothing	101	2478926	0	1			0		false_alarm	445
761	110	Response	3	2480493	1567	6
761	110	Response	2	2486481	7555	6
761	111	Nothing	19	2512566	0	1			0		other	0
761	112	Nothing	52	2546124	0	1			0		other	0
761	113	Sound	0	2547138	0	2			0		other	0
761	113	Response	3	2552314	5176	5
761	114	Response	3	2552698	348	6
761	114	Response	3	2552710	360	6
761	114	Response	3	2552733	383	6
761	114	Response	3	2552797	447	6
761	115	Nothing	111	2553367	0	1			0		false_alarm	456
761	115	Response	3	2553873	506	6
761	115	Response	3	2553885	518	6
761	115	Response	3	2554023	656	6
761	115	Response	3	2554028	661	6
761	115	Response	3	2557822	4455	6
761	115	Response	3	2557955	4588	6
761	115	Response	3	2559350	5983	5
761	116	Nothing	19	2585986	0	1			0		other	0
761	117	Nothing	51	2601124	0	1			0		other	0
761	118	Sound	0	2602138	0	2			0		other	0
761	118	Response	3	2606918	4780	6
761	118	Response	3	2606923	4785	6
761	119	Nothing	101	2606950	0	1			0		false_alarm	469
761	119	Response	3	2608677	1727	7
761	119	Response	3	2608700	1750	6
761	119	Response	3	2608777	1827	7
761	119	Response	3	2609135	2185	6
761	119	Response	3	2610330	3380	5
761	120	Nothing	19	2640519	0	1			0		other	0
761	122	Nothing	51	2652901	0	1			0		other	0
761	123	Sound	0	2653913	0	2			0		other	0
761	123	Response	2	2658234	4321	6
761	125	Nothing	100	2659287	0	1			0		false_alarm	479
761	125	Response	2	2659446	159	6
761	125	Response	2	2660574	1287	7
761	125	Response	2	2661793	2506	6
761	125	Response	2	2663017	3730	3
761	125	Response	2	2663019	3732	5
761	125	Response	2	2664453	5166	6
761	125	Response	2	2664458	5171	6
761	125	Response	2	2667435	8148	6
761	125	Response	2	2668847	9560	6
761	125	Response	2	2670157	10870	4
761	125	Response	2	2671558	12271	6
761	126	Nothing	19	2691860	0	1			0		other	0
761	127	Nothing	51	2703222	0	1			0		other	0
761	128	Sound	0	2704235	0	2			0		other	0
761	128	Response	2	2709246	5011	6
761	128	Response	2	2709253	5018	6
761	130	Nothing	100	2710297	0	1			0		false_alarm	496
761	130	Response	2	2710547	250	5
761	130	Response	2	2714305	4008	6
761	130	Response	2	2715699	5402	6
761	130	Response	2	2715952	5655	6
761	130	Response	2	2715959	5662	4
761	130	Response	2	2716962	6665	6
761	130	Response	2	2718285	7988	4
761	130	Response	2	2718288	7991	5
761	130	Response	2	2721329	11032	6
761	130	Response	2	2721359	11062	5
761	130	Response	2	2721363	11066	6
761	130	Response	2	2722558	12261	6
761	131	Nothing	19	2742430	0	1			0		other	0
761	132	Nothing	51	2756178	0	1			0		other	0
761	133	Sound	0	2757191	0	2			0		other	0
761	133	Response	2	2761898	4707	6
761	133	Response	2	2761906	4715	6
761	135	Nothing	100	2762947	0	1			0		false_alarm	514
761	135	Response	2	2763122	175	6
761	135	Response	2	2763127	180	5
761	135	Response	2	2763131	184	4
761	135	Response	2	2766891	3944	6
761	135	Response	2	2768493	5546	5
761	135	Response	2	2768501	5554	4
761	135	Response	2	2769848	6901	6
761	135	Response	2	2771274	8327	6
761	135	Response	2	2771289	8342	5
761	135	Response	2	2772567	9620	4
761	135	Response	2	2774035	11088	6
761	135	Response	2	2774055	11108	6
761	135	Response	2	2774123	11176	5
761	135	Response	2	2774128	11181	6
761	135	Response	2	2774214	11267	5
761	135	Response	2	2774218	11271	6
761	135	Response	2	2776882	13935	6
761	135	Response	2	2777093	14146	6
761	135	Response	2	2778207	15260	4
761	136	Nothing	19	2795090	0	1			0		other	0
761	137	Nothing	51	2841185	0	1			0		other	0
761	138	Sound	0	2842199	0	2			0		other	0
761	138	Response	2	2845094	2895	5
761	140	Nothing	100	2846136	0	1			0		false_alarm	538
761	140	Response	2	2846406	270	6
761	140	Response	2	2846418	282	4
761	140	Response	2	2851534	5398	5
761	140	Response	2	2852840	6704	5
761	140	Response	2	2854080	7944	5
761	140	Response	2	2855440	9304	5
761	140	Response	2	2858552	12416	5
761	140	Response	2	2859972	13836	6
761	141	Nothing	19	2878231	0	1			0		other	0
761	142	Nothing	52	2890058	0	1			0		other	0
761	143	Sound	0	2891072	0	3			0		other	0
761	143	Response	3	2894708	3636	5
761	145	Nothing	111	2895753	0	1			0		false_alarm	551
761	145	Response	3	2895785	32	6
761	145	Response	3	2895804	51	5
761	145	Response	3	2896032	279	4
761	145	Response	3	2898510	2757	5
761	145	Response	3	2900183	4430	4
761	145	Response	3	2900209	4456	5
761	145	Response	3	2901611	5858	5
761	145	Response	3	2902996	7243	5
761	145	Response	3	2903064	7311	6
761	145	Response	3	2904626	8873	5
761	145	Response	3	2904635	8882	6
761	145	Response	3	2906163	10410	6
761	145	Response	3	2906170	10417	6
761	145	Response	3	2912201	16448	5
761	145	Response	3	2915111	19358	5
761	145	Response	3	2915117	19364	5
761	145	Response	3	2916682	20929	6
761	146	Nothing	19	2927859	0	1			0		other	0
761	146	Response	2	2956843	28984	3
761	146	Response	3	2960789	32930	5
761	146	Response	3	2961975	34116	6
761	146	Response	3	2961983	34124	4
761	146	Response	3	2961986	34127	5
761	146	Response	3	2961991	34132	5
761	146	Response	3	2962148	34289	4
761	146	Response	3	2962313	34454	6
761	146	Response	3	2962369	34510	6
761	146	Response	3	2962374	34515	6
761	146	Response	3	2962500	34641	5
761	147	Nothing	19	2963311	0	1			0		other	0
761	149	Nothing	51	2997566	0	1			0		other	0
761	150	Sound	0	2998579	0	2			0		other	0
761	150	Response	2	3001958	3379	6
761	152	Nothing	100	3003013	0	1			0		false_alarm	585
761	152	Response	2	3003161	148	7
761	152	Response	2	3007870	4857	53
