Scenario - phase2_matchingPennies_algorithm1
Logfile written - 10/27/2019 11:17:28

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

873	0	Manual	10/27/2019 10:10:25	-9972	-9972
873	0	Response	2	31201	31201	6
873	0	Port Input	1	31201	31201	6
873	0	Response	2	31649	31649	6
873	0	Port Input	1	31649	31649	6
873	0	Response	2	32752	32752	6
873	0	Port Input	1	32752	32752	6
873	0	Response	2	34354	34354	6
873	0	Port Input	1	34354	34354	6
873	0	Response	2	36133	36133	6
873	0	Port Input	1	36133	36133	6
873	0	Response	3	42050	42050	6
873	0	Port Input	4	42050	42050	6
873	0	Response	2	44417	44417	6
873	0	Port Input	1	44417	44417	6
873	0	Response	2	45929	45929	7
873	0	Port Input	1	45929	45929	7
873	0	Response	2	77194	77194	6
873	0	Port Input	1	77194	77194	6
873	0	Response	2	78634	78634	6
873	0	Port Input	1	78634	78634	6
873	0	Response	2	165456	165456	5
873	0	Port Input	1	165456	165456	5
873	0	Response	2	167093	167093	6
873	0	Port Input	1	167093	167093	6
873	0	Response	2	168988	168988	6
873	0	Port Input	1	168988	168988	6
873	0	Response	2	190827	190827	5
873	0	Port Input	1	190827	190827	5
873	0	Response	2	192240	192240	6
873	0	Port Input	1	192240	192240	6
873	0	Response	2	195092	195092	6
873	0	Port Input	1	195092	195092	6
873	0	Response	2	219617	219617	6
873	0	Port Input	1	219617	219617	6
873	0	Response	2	221157	221157	6
873	0	Port Input	1	221157	221157	6
873	0	Response	2	250811	250811	6
873	0	Port Input	1	250811	250811	6
873	0	Response	2	291610	291610	6
873	0	Port Input	1	291610	291610	6
873	0	Response	2	293174	293174	7
873	0	Port Input	1	293174	293174	7
873	0	Response	2	295382	295382	6
873	0	Port Input	1	295382	295382	6
873	0	Response	2	342470	342470	6
873	0	Port Input	1	342470	342470	6
873	0	Response	2	343960	343960	6
873	0	Port Input	1	343960	343960	6
873	0	Response	2	345277	345277	7
873	0	Port Input	1	345277	345277	7
873	0	Response	2	346968	346968	5
873	0	Port Input	1	346968	346968	5
873	0	Response	2	368484	368484	6
873	0	Port Input	1	368484	368484	6
873	0	Response	2	393472	393472	6
873	0	Port Input	1	393472	393472	6
873	0	Response	2	395191	395191	6
873	0	Port Input	1	395191	395191	6
873	0	Response	2	465305	465305	5
873	0	Port Input	1	465305	465305	5
873	0	Response	2	466806	466806	5
873	0	Port Input	1	466806	466806	5
873	0	Response	2	562766	562766	9
873	0	Port Input	1	562766	562766	9
873	0	Response	2	563885	563885	6
873	0	Port Input	1	563885	563885	6
873	0	Response	2	565640	565640	6
873	0	Port Input	1	565640	565640	6
873	0	Response	2	589990	589990	6
873	0	Port Input	1	589990	589990	6
873	0	Response	2	591887	591887	5
873	0	Port Input	1	591887	591887	5
873	0	Response	2	635375	635375	6
873	0	Port Input	1	635375	635375	6
873	0	Response	2	636958	636958	6
873	0	Port Input	1	636958	636958	6
873	0	Response	2	638603	638603	6
873	0	Port Input	1	638603	638603	6
873	0	Response	2	665553	665553	6
873	0	Port Input	1	665553	665553	6
873	0	Response	2	691990	691990	5
873	0	Port Input	1	691990	691990	5
873	0	Response	2	693827	693827	6
873	0	Port Input	1	693827	693827	6
873	1	Nothing	52	905955	0	1			0		other	0
873	1	Response	2	907435	1480	6
873	1	Port Input	1	907435	1480	6
873	2	Nothing	110	907469	0	1			0		false_alarm	90
873	2	Response	2	908743	1274	6
873	2	Port Input	1	908743	1274	6
873	2	Response	2	910425	2956	6
873	2	Port Input	1	910425	2956	6
873	2	Response	2	912110	4641	6
873	2	Port Input	1	912110	4641	6
873	2	Response	2	913945	6476	6
873	2	Port Input	1	913945	6476	6
873	3	Nothing	19	937709	0	1			0		other	0
873	3	Response	2	940862	3153	4
873	3	Port Input	1	940862	3153	4
873	4	Nothing	19	961670	0	1			0		other	0
873	5	Nothing	52	976324	0	1			0		other	0
873	5	Response	2	978601	2277	6
873	5	Port Input	1	978601	2277	6
873	6	Nothing	110	978636	0	1			0		false_alarm	106
873	6	Response	2	979581	945	6
873	6	Port Input	1	979581	945	6
873	6	Response	2	980957	2321	4
873	6	Port Input	1	980957	2321	4
873	6	Response	2	982588	3952	6
873	6	Port Input	1	982588	3952	6
873	7	Nothing	19	1008774	0	1			0		other	0
873	8	Nothing	51	1031702	0	1			0		other	0
873	8	Response	2	1033579	1877	6
873	8	Port Input	1	1033579	1877	6
873	9	Nothing	100	1033619	0	1			0		false_alarm	117
873	9	Response	2	1034651	1032	5
873	9	Port Input	1	1034651	1032	5
873	9	Response	2	1036980	3361	6
873	9	Port Input	1	1036980	3361	6
873	9	Response	2	1038092	4473	5
873	9	Port Input	1	1038092	4473	5
873	9	Response	2	1039339	5720	5
873	9	Port Input	1	1039339	5720	5
873	9	Response	2	1040658	7039	6
873	9	Port Input	1	1040658	7039	6
873	9	Response	2	1041853	8234	7
873	9	Port Input	1	1041853	8234	7
873	9	Response	2	1043199	9580	6
873	9	Port Input	1	1043199	9580	6
873	10	Nothing	19	1063778	0	1			0		other	0
873	11	Nothing	51	1100925	0	1			0		other	0
873	11	Response	2	1102197	1272	6
873	11	Port Input	1	1102197	1272	6
873	12	Nothing	100	1102235	0	1			0		false_alarm	136
873	12	Response	2	1104571	2336	6
873	12	Port Input	1	1104571	2336	6
873	12	Response	2	1105742	3507	6
873	12	Port Input	1	1105742	3507	6
873	12	Response	2	1106940	4705	4
873	12	Port Input	1	1106940	4705	4
873	12	Response	2	1108192	5957	6
873	12	Port Input	1	1108192	5957	6
873	12	Response	2	1109527	7292	6
873	12	Port Input	1	1109527	7292	6
873	12	Response	2	1110981	8746	6
873	12	Port Input	1	1110981	8746	6
873	12	Response	2	1112377	10142	6
873	12	Port Input	1	1112377	10142	6
873	12	Response	2	1113991	11756	3
873	12	Port Input	1	1113991	11756	3
873	13	Nothing	19	1132375	0	1			0		other	0
873	15	Nothing	51	1158324	0	1			0		other	0
873	15	Response	2	1159536	1212	4
873	15	Port Input	1	1159536	1212	4
873	16	Nothing	100	1159577	0	1			0		false_alarm	157
873	16	Response	2	1160782	1205	6
873	16	Port Input	1	1160782	1205	6
873	16	Response	2	1162798	3221	6
873	16	Port Input	1	1162798	3221	6
873	16	Response	2	1164054	4477	8
873	16	Port Input	1	1164054	4477	8
873	16	Response	2	1165363	5786	6
873	16	Port Input	1	1165363	5786	6
873	16	Response	2	1166759	7182	5
873	16	Port Input	1	1166759	7182	5
873	16	Response	2	1169458	9881	6
873	16	Port Input	1	1169458	9881	6
873	16	Response	2	1170928	11351	5
873	16	Port Input	1	1170928	11351	5
873	17	Nothing	19	1190393	0	1			0		other	0
873	18	Nothing	52	1201848	0	1			0		other	0
873	18	Response	2	1203829	1981	6
873	18	Port Input	1	1203829	1981	6
873	19	Nothing	110	1203864	0	1			0		false_alarm	176
873	19	Response	2	1204786	922	6
873	19	Port Input	1	1204786	922	6
873	19	Response	2	1205977	2113	6
873	19	Port Input	1	1205977	2113	6
873	19	Response	2	1207240	3376	7
873	19	Port Input	1	1207240	3376	7
873	19	Response	2	1208578	4714	5
873	19	Port Input	1	1208578	4714	5
873	20	Nothing	19	1237430	0	1			0		other	0
873	21	Nothing	52	1271568	0	1			0		other	0
873	21	Response	2	1272988	1420	5
873	21	Port Input	1	1272988	1420	5
873	22	Nothing	110	1273019	0	1			0		false_alarm	189
873	22	Response	2	1274159	1140	4
873	22	Port Input	1	1274159	1140	4
873	22	Response	2	1275497	2478	6
873	22	Port Input	1	1275497	2478	6
